0	,	0	,	0	,	0	,	0	,
0.015	,	-0.43196	,	0.63095	,	-2.09869	,	6.257396	,
0.03	,	-0.86467	,	1.26344	,	-4.18768	,	12.4855	,
0.045	,	-1.29811	,	1.897456	,	-6.26699	,	18.68327	,
0.06	,	-1.73227	,	2.532983	,	-8.3366	,	24.84966	,
0.075	,	-2.16714	,	3.170008	,	-10.3965	,	30.98361	,
0.09	,	-2.60272	,	3.808516	,	-12.4468	,	37.08409	,
0.105	,	-3.03899	,	4.448494	,	-14.4873	,	43.15004	,
0.12	,	-3.47594	,	5.089927	,	-16.5182	,	49.18042	,
0.135	,	-3.91357	,	5.732801	,	-18.5393	,	55.17417	,
0.15	,	-4.35185	,	6.377102	,	-20.5508	,	61.13026	,
0.165	,	-4.79078	,	7.022816	,	-22.5526	,	67.04764	,
0.18	,	-5.23036	,	7.669929	,	-24.5447	,	72.92525	,
0.195	,	-5.67056	,	8.318427	,	-26.5271	,	78.76205	,
0.21	,	-6.11139	,	8.968296	,	-28.4998	,	84.55699	,
0.225	,	-6.55282	,	9.619521	,	-30.4628	,	90.30903	,
0.24	,	-6.99485	,	10.27209	,	-32.4162	,	96.01712	,
0.255	,	-7.43747	,	10.92598	,	-34.3599	,	101.6802	,
0.27	,	-7.88067	,	11.58119	,	-36.2938	,	107.2973	,
0.285	,	-8.32444	,	12.23771	,	-38.2181	,	112.8672	,
0.3	,	-8.76876	,	12.8955	,	-40.1327	,	118.389	,
0.315	,	-9.21363	,	13.55457	,	-42.0377	,	123.8616	,
0.33	,	-9.65904	,	14.2149	,	-43.9329	,	129.284	,
0.345	,	-10.105	,	14.87647	,	-45.8184	,	134.6551	,
0.36	,	-10.5514	,	15.53927	,	-47.6943	,	139.9739	,
0.375	,	-10.9984	,	16.20328	,	-49.5605	,	145.2393	,
0.39	,	-11.4458	,	16.8685	,	-51.417	,	150.4503	,
0.405	,	-11.8938	,	17.5349	,	-53.2638	,	155.6058	,
0.42	,	-12.3422	,	18.20248	,	-55.101	,	160.7047	,
0.435	,	-12.791	,	18.87122	,	-56.9285	,	165.7462	,
0.45	,	-13.2404	,	19.5411	,	-58.7462	,	170.729	,
0.465	,	-13.6901	,	20.21212	,	-60.5543	,	175.6521	,
0.48	,	-14.1403	,	20.88425	,	-62.3528	,	180.5145	,
0.495	,	-14.5909	,	21.55748	,	-64.1415	,	185.3152	,
0.51	,	-15.042	,	22.2318	,	-65.9206	,	190.0531	,
0.525	,	-15.4934	,	22.9072	,	-67.69	,	194.7271	,
0.54	,	-15.9452	,	23.58365	,	-69.4497	,	199.3362	,
0.555	,	-16.3975	,	24.26116	,	-71.1997	,	203.8794	,
0.57	,	-16.85	,	24.93969	,	-72.9401	,	208.3556	,
0.585	,	-17.303	,	25.61925	,	-74.6707	,	212.7637	,
0.6	,	-17.7563	,	26.29981	,	-76.3917	,	217.1028	,
0.615	,	-18.2099	,	26.98135	,	-78.1031	,	221.3717	,
0.63	,	-18.6638	,	27.66388	,	-79.8047	,	225.5695	,
0.645	,	-19.1181	,	28.34736	,	-81.4967	,	229.695	,
0.66	,	-19.5727	,	29.0318	,	-83.179	,	233.7472	,
0.675	,	-20.0276	,	29.71716	,	-84.8516	,	237.7252	,
0.69	,	-20.4827	,	30.40345	,	-86.5146	,	241.6277	,
0.705	,	-20.9382	,	31.09064	,	-88.1678	,	245.4538	,
0.72	,	-21.3939	,	31.77873	,	-89.8114	,	249.2025	,
0.735	,	-21.8499	,	32.46769	,	-91.4454	,	252.8727	,
0.75	,	-22.3061	,	33.15751	,	-93.0696	,	256.4632	,
0.765	,	-22.7625	,	33.84819	,	-94.6842	,	259.9732	,
0.78	,	-23.2192	,	34.5397	,	-96.2891	,	263.4016	,
0.795	,	-23.6761	,	35.23203	,	-97.8844	,	266.7472	,
0.81	,	-24.1332	,	35.92516	,	-99.47	,	270.0091	,
0.825	,	-24.5905	,	36.61909	,	-101.046	,	273.1862	,
0.84	,	-25.0479	,	37.3138	,	-102.612	,	276.2774	,
0.855	,	-25.5056	,	38.00927	,	-104.169	,	279.2818	,
0.87	,	-25.9634	,	38.70549	,	-105.716	,	282.1982	,
0.885	,	-26.4214	,	39.40245	,	-107.253	,	285.0256	,
0.9	,	-26.8795	,	40.10013	,	-108.78	,	287.763	,
0.915	,	-27.3377	,	40.79852	,	-110.298	,	290.4093	,
0.93	,	-27.796	,	41.4976	,	-111.806	,	292.9635	,
0.945	,	-28.2545	,	42.19737	,	-113.305	,	295.4245	,
0.96	,	-28.7131	,	42.8978	,	-114.794	,	297.7913	,
0.975	,	-29.1717	,	43.59888	,	-116.273	,	300.0628	,
0.99	,	-29.6305	,	44.30059	,	-117.743	,	302.238	,
1.005	,	-30.0893	,	45.00294	,	-119.203	,	304.3159	,
1.02	,	-30.5481	,	45.70589	,	-120.653	,	306.2953	,
1.035	,	-31.0071	,	46.40943	,	-122.093	,	308.1753	,
1.05	,	-31.466	,	47.11356	,	-123.524	,	309.9547	,
1.065	,	-31.925	,	47.81826	,	-124.946	,	311.6326	,
1.08	,	-32.384	,	48.5235	,	-126.357	,	313.208	,
1.095	,	-32.843	,	49.22929	,	-127.759	,	314.6796	,
1.11	,	-33.302	,	49.9356	,	-129.151	,	316.0466	,
1.125	,	-33.761	,	50.64242	,	-130.534	,	317.3078	,
1.14	,	-34.2199	,	51.34974	,	-131.907	,	318.4623	,
1.155	,	-34.6789	,	52.05755	,	-133.27	,	319.5089	,
1.17	,	-35.1378	,	52.76582	,	-134.624	,	320.4466	,
